strain,stress
0.007070707,803.7410564
0.014141414,822.6952805
0.021212121,839.7563685
0.028282828,858.601718
0.035353535,870.4375241
0.042424242,885.8868798
0.049494949,898.1528798
0.056565657,907.7081178
0.063636364,916.7650276
0.070707071,927.8806698
0.077777778,933.7789204
0.084848485,942.6981679
0.091919192,950.3704512
0.098989899,955.2014886
0.106060606,960.6193702
0.113131313,964.8887788
0.12020202,970.2974812
0.127272727,972.499479
0.134343434,977.077257
0.141414141,979.702326
0.148484848,983.4018975
0.155555556,984.199476
0.162626263,986.8136769
0.16969697,992.316186
0.176767677,992.5384574
0.183838384,996.6437242
0.190909091,994.2129034
0.197979798,996.1301857
0.205050505,998.3999928
0.212121212,999.4856342
0.219191919,1000.549279
0.226262626,1000.679448
0.233333333,1002.738018
0.24040404,1004.946117
0.247474747,1004.444679
0.254545455,1003.775525
0.261616162,1004.177002
0.268686869,1006.036397
0.275757576,1006.592433
0.282828283,1005.197204
0.28989899,1006.579811
0.296969697,1005.854072
0.304040404,1007.656793
0.311111111,1007.868194
0.318181818,1007.298884
0.325252525,1007.846517
0.332323232,1007.383453
0.339393939,1008.139617
0.346464646,1008.636957
0.353535354,1007.934554
0.360606061,1008.116087
0.367676768,1009.375382
0.374747475,1009.237453
0.381818182,1007.720737
0.388888889,1011.842087
0.395959596,1009.751308
0.403030303,1007.982575
0.41010101,1010.821472
0.417171717,1009.451652
0.424242424,1010.266345
0.431313131,1009.91015
0.438383838,1005.074718
0.445454545,1009.286934
0.452525253,1010.138248
0.45959596,1007.679717
0.466666667,1009.18577
0.473737374,1011.027978
0.480808081,1008.816553
0.487878788,1008.315113
0.494949495,1007.072965
0.502020202,1007.795041
0.509090909,1007.389619
0.516161616,1011.265888
0.523232323,1009.521384
0.53030303,1008.466965
0.537373737,1011.055441
0.544444444,1010.19384
0.551515152,1009.639987
0.558585859,1008.977891
0.565656566,1007.974081
0.572727273,1009.283362
0.57979798,1009.455158
0.586868687,1011.431152
0.593939394,1011.916638
0.601010101,1009.619108
0.608080808,1009.178347
0.615151515,1010.971337
0.622222222,1008.544056
0.629292929,1010.795584
0.636363636,1008.755491
0.643434343,1009.884935
0.650505051,1011.75888
0.657575758,1010.354847
0.664646465,1008.006486
0.671717172,1010.596303
0.678787879,1008.862488
0.685858586,1010.588022
0.692929293,1009.528014
0.7,1010.144761
