strain,stress
0.004040404,1009.63193
0.008080808,1461.093034
0.012121212,1481.081903
0.016161616,1495.021808
0.02020202,1510.949421
0.024242424,1526.011557
0.028282828,1536.343166
0.032323232,1548.100914
0.036363636,1557.61403
0.04040404,1568.771838
0.044444444,1575.698651
0.048484848,1581.967434
0.052525253,1588.537726
0.056565657,1594.479003
0.060606061,1600.923412
0.064646465,1605.408251
0.068686869,1608.770512
0.072727273,1613.052118
0.076767677,1616.835538
0.080808081,1621.019916
0.084848485,1622.852127
0.088888889,1625.994072
0.092929293,1628.224239
0.096969697,1630.590661
0.101010101,1632.235849
0.105050505,1632.64803
0.109090909,1634.934775
0.113131313,1635.544918
0.117171717,1636.378322
0.121212121,1638.543929
0.125252525,1639.882859
0.129292929,1642.374299
0.133333333,1642.564936
0.137373737,1642.727233
0.141414141,1644.261134
0.145454545,1645.436246
0.149494949,1643.460503
0.153535354,1646.225234
0.157575758,1645.08099
0.161616162,1647.113958
0.165656566,1646.518412
0.16969697,1647.017081
0.173737374,1646.958351
0.177777778,1649.924228
0.181818182,1646.093822
0.185858586,1647.278393
0.18989899,1648.925801
0.193939394,1648.774167
0.197979798,1648.586099
0.202020202,1647.875823
0.206060606,1648.107072
0.21010101,1648.440985
0.214141414,1648.911264
0.218181818,1648.088264
0.222222222,1647.471695
0.226262626,1649.302163
0.23030303,1650.032586
0.234343434,1649.648679
0.238383838,1649.335506
0.242424242,1649.215533
0.246464646,1647.670169
0.250505051,1649.310884
0.254545455,1648.23665
0.258585859,1649.504353
0.262626263,1649.714703
0.266666667,1649.972293
0.270707071,1649.686427
0.274747475,1651.019069
0.278787879,1649.838351
0.282828283,1649.937005
0.286868687,1650.752426
0.290909091,1650.295295
0.294949495,1648.380051
0.298989899,1648.672902
0.303030303,1647.476809
0.307070707,1649.960258
0.311111111,1650.417256
0.315151515,1651.461947
0.319191919,1650.005931
0.323232323,1651.858188
0.327272727,1650.151567
0.331313131,1649.593009
0.335353535,1650.467442
0.339393939,1649.402611
0.343434343,1649.554712
0.347474747,1648.8676
0.351515152,1648.34447
0.355555556,1649.533855
0.35959596,1649.72746
0.363636364,1648.422849
0.367676768,1649.557556
0.371717172,1649.981405
0.375757576,1649.53211
0.37979798,1652.154143
0.383838384,1650.926316
0.387878788,1649.665732
0.391919192,1650.693406
0.395959596,1649.605822
0.4,1648.389053
