strain,stress
5.05E-05,3.487612209
0.00010101,9.050349248
0.000151515,13.14599654
0.00020202,17.74615402
0.000252525,21.74368811
0.00030303,26.14819721
0.000353535,29.78203788
0.00040404,33.52150132
0.000454545,40.08613014
0.000505051,43.68048039
0.000555556,48.01068672
0.000606061,49.74590487
0.000656566,55.88868254
0.000707071,59.25512735
0.000757576,62.66627472
0.000808081,68.71514096
0.000858586,72.06663307
0.000909091,77.03093057
0.000959596,80.26775584
0.001010101,85.93430965
0.001060606,89.15340943
0.001111111,93.78972368
0.001161616,100.7969521
0.001212121,102.8989295
0.001262626,106.9332075
0.001313131,112.1533964
0.001363636,115.531877
0.001414141,121.4060817
0.001464646,124.2428793
0.001515152,129.1299075
0.001565657,131.1542298
0.001616162,137.4258724
0.001666667,141.9788142
0.001717172,147.2080634
0.001767677,151.4000342
0.001818182,155.1704456
0.001868687,158.7564711
0.001919192,162.9508488
0.001969697,168.2423789
0.002020202,170.5958119
0.002070707,176.6753876
0.002121212,180.2903647
0.002171717,183.8995034
0.002222222,188.0983336
0.002272727,191.8318672
0.002323232,197.7298031
0.002373737,202.7381207
0.002424242,205.5312738
0.002474747,209.2063736
0.002525253,214.1048068
0.002575758,217.1183759
0.002626263,224.1617029
0.002676768,226.0672314
0.002727273,231.4928058
0.002777778,235.3506118
0.002828283,239.5597506
0.002878788,245.5935502
0.002929293,249.029501
0.002979798,266.2932462
0.003030303,280.6808053
0.003080808,295.472606
0.003131313,305.1198648
0.003181818,311.1264035
0.003232323,318.6933102
0.003282828,321.7720955
0.003333333,327.1486753
0.003383838,329.7893938
0.003434343,329.5237327
0.003484848,333.2761822
0.003535354,335.2855969
0.003585859,336.4488516
0.003636364,337.3309128
0.003686869,336.8359446
0.003737374,338.1698979
0.003787879,338.830999
0.003838384,338.8219318
0.003888889,338.2602383
0.003939394,338.8618658
0.003989899,340.1195591
0.004040404,339.3603039
0.004090909,340.4375367
0.004141414,340.41204
0.004191919,340.9416446
0.004242424,338.550675
0.004292929,339.1570582
0.004343434,337.2313523
0.004393939,340.4616947
0.004444444,340.5301957
0.004494949,340.6208808
0.004545455,340.2247132
0.00459596,339.6516064
0.004646465,337.5902308
0.00469697,340.9479075
0.004747475,340.6145586
0.00479798,338.5654215
0.004848485,339.4473272
0.00489899,341.1061305
0.004949495,339.0516883
0.005,341.1969675
